,order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category,order_year,order_month,discount_ratio
0,3,order finished,muhammed mac intyre,2010-10-13,6,523080,0.04,20923.0,office supplies,storage & organization,2010,10,0.03999961764930794
1,293,order finished,barry french,2012-10-01,49,20246040,0.07,1417223.0,office supplies,appliances,2012,10,0.070000009878475
2,483,order finished,clay rozendal,2011-07-10,30,9931519,0.08,794522.0,technology,telephones & communication,2011,7,0.08000004833097535
3,515,order finished,carlos soltero,2010-08-28,19,788540,0.08,63083.0,office supplies,appliances,2010,8,0.07999974636670303
4,613,order finished,carl jackson,2011-06-17,12,187080,0.03,5612.0,office supplies,binders & binder accessories,2011,6,0.029997861877271756
5,643,order finished,monica federle,2011-03-24,21,5563640,0.07,389455.0,office supplies,storage & organization,2011,3,0.07000003594768893
6,678,order returned,dorothy badders,2010-02-26,44,456820,0.07,31977.0,office supplies,paper,2010,2,0.0699991243815945
7,807,order finished,neola schneider,2010-11-23,45,393700,0.01,3937.0,office supplies,paper,2010,11,0.01
8,868,order finished,carlos daly,2012-06-08,32,1433680,0.0,0.0,office supplies,appliances,2012,6,0.0
9,933,order finished,claudia miner,2012-08-04,15,161220,0.02,3224.0,office supplies,binders & binder accessories,2012,8,0.019997518918248355
10,995,order finished,neola schneider,2011-05-30,46,3630980,0.03,108929.0,furniture,office furnishings,2011,5,0.029999889836903534
11,998,order finished,allen rosenblatt,2009-11-25,16,496520,0.07,34756.0,office supplies,envelopes,2009,11,0.06999919439297511
12,1154,order finished,sylvia foulston,2012-02-14,44,8924460,0.04,356978.0,furniture,bookcases,2012,2,0.039999955179360995
13,1344,order finished,jim radford,2012-04-15,15,1669808,0.06,100188.0,technology,telephones & communication,2012,4,0.05999971254180121
14,1412,order finished,carlos soltero,2010-03-12,13,118060,0.1,11806.0,office supplies,labels,2010,3,0.1
15,1539,order finished,carl ludwig,2011-03-09,33,1023660,0.1,102366.0,office supplies,binders & binder accessories,2011,3,0.1
16,1540,order finished,don miller,2012-08-04,30,161800,0.09,14562.0,office supplies,pens & art supplies,2012,8,0.09
17,1702,order finished,annie cyprus,2011-05-06,23,134480,0.06,8069.0,office supplies,pens & art supplies,2011,5,0.06000148720999405
18,1761,order finished,carl ludwig,2010-12-23,25,24056460,0.01,240565.0,technology,copiers & fax,2010,12,0.010000016627550354
19,1792,order finished,carlos soltero,2010-11-08,28,740960,0.04,29638.0,office supplies,storage & organization,2010,11,0.0399994601597927
20,2275,order finished,grant carroll,2012-10-21,49,556000,0.08,44480.0,office supplies,pens & art supplies,2012,10,0.08
21,2277,order finished,don miller,2011-01-01,10,133080,0.01,1331.0,technology,computer peripherals,2011,1,0.010001502855425308
22,2532,order finished,alan barnes,2011-10-10,39,564140,0.03,16924.0,office supplies,labels,2011,10,0.02999964547807282
23,2631,order finished,jack garza,2010-09-23,27,2156980,0.08,172558.0,technology,computer peripherals,2010,9,0.07999981455553598
24,2757,order finished,julia west,2011-07-19,39,7108920,0.07,497624.0,furniture,chairs & chairmats,2011,7,0.06999994373266262
25,2791,order finished,eugene barchas,2009-10-09,47,383340,0.0,0.0,office supplies,binders & binder accessories,2009,10,0.0
26,2976,order finished,edward hooks,2010-12-09,30,28447640,0.09,2560288.0,furniture,chairs & chairmats,2010,12,0.09000001406092034
27,3232,order finished,brad eason,2012-10-08,5,85320,0.06,5119.0,office supplies,binders & binder accessories,2012,10,0.059997655883731835
28,3524,order finished,nicole hansen,2012-05-02,21,854640,0.0,0.0,office supplies,paper,2012,5,0.0
29,3908,order finished,dorothy wardle,2010-03-08,8,1640568,0.0,0.0,technology,telephones & communication,2010,3,0.0
30,4132,order finished,aaron bergman,2011-05-28,5,29520,0.01,295.0,office supplies,labels,2011,5,0.009993224932249323
31,4612,order finished,jim radford,2010-09-19,9,179100,0.06,10746.0,office supplies,appliances,2010,9,0.06
32,4676,order finished,annie cyprus,2011-08-31,11,2420103,0.04,96804.0,technology,telephones & communication,2011,8,0.039999950415333566
33,5284,order finished,annie cyprus,2011-07-08,7,118760,0.1,11876.0,office supplies,binders & binder accessories,2011,7,0.1
34,5316,order finished,clay rozendal,2009-01-30,42,2570740,0.1,257074.0,technology,computer peripherals,2009,1,0.1
35,5409,order finished,don jones,2012-01-08,11,97820,0.01,978.0,office supplies,paper,2012,1,0.009997955428337764
36,5506,order finished,beth thompson,2010-11-07,22,259240,0.05,12962.0,office supplies,paper,2010,11,0.05
37,5569,order finished,frank price,2010-04-29,12,237940,0.09,21415.0,furniture,office furnishings,2010,4,0.09000168109607463
38,5607,order finished,michelle lonsdale,2011-12-31,8,123743,0.0,0.0,technology,telephones & communication,2011,12,0.0
39,5894,order finished,ann chong,2009-08-12,7,768660,0.1,76866.0,office supplies,binders & binder accessories,2009,8,0.1
40,5925,order finished,joy bell,2011-11-12,44,7844840,0.08,627587.0,furniture,office furnishings,2011,11,0.07999997450553485
41,6016,order finished,skye norling,2012-01-20,19,416560,0.07,29159.0,office supplies,paper,2012,1,0.06999951987708854
42,6116,order finished,barry weirich,2009-03-20,6,19241640,0.04,769666.0,office supplies,"scissors, rulers & trimmers",2009,3,0.04000002078824882
43,6182,order finished,grant carroll,2012-07-21,40,510960,0.04,20438.0,office supplies,paper,2012,7,0.03999921715985596
44,6535,order finished,adrian hane,2012-06-12,11,624720,0.07,43730.0,office supplies,pens & art supplies,2012,6,0.0699993597131515
45,6884,order finished,skye norling,2009-01-15,41,434000,0.01,4340.0,office supplies,paper,2009,1,0.01
46,6916,order finished,andrew gjertsen,2010-06-04,40,872340,0.08,69787.0,office supplies,storage & organization,2010,6,0.07999977073159548
47,6980,order finished,ralph knight,2010-02-18,18,272580,0.05,13629.0,office supplies,binders & binder accessories,2010,2,0.05
48,6982,order finished,dorothy wardle,2011-11-16,32,2622500,0.0,0.0,technology,computer peripherals,2011,11,0.0
49,7110,order finished,grant carroll,2011-08-07,22,12792400,0.02,255848.0,furniture,chairs & chairmats,2011,8,0.02
50,7430,order finished,barry weirich,2010-06-08,50,1503540,0.05,75177.0,office supplies,envelopes,2010,6,0.05
51,7906,order finished,beth paige,2009-10-17,37,2006120,0.03,60184.0,office supplies,appliances,2009,10,0.03000019938986701
52,8391,order finished,sylvia foulston,2011-08-28,4,2533440,0.04,101338.0,furniture,chairs & chairmats,2011,8,0.04000015788808892
53,8419,order finished,nicole hansen,2011-09-29,19,736080,0.07,51526.0,office supplies,paper,2011,9,0.07000054341919357
54,8833,order finished,nicole hansen,2012-05-04,40,6677960,0.0,0.0,office supplies,storage & organization,2012,5,0.0
55,8995,order finished,beth paige,2011-05-17,5,48320,0.08,3866.0,office supplies,binders & binder accessories,2011,5,0.08000827814569536
56,9126,order finished,sylvia foulston,2009-11-17,47,5599400,0.04,223976.0,office supplies,appliances,2009,11,0.04
57,9127,order finished,bryan davis,2011-10-10,7,4079120,0.04,163165.0,office supplies,storage & organization,2011,10,0.040000049030182984
58,9509,order finished,joy bell,2012-10-07,36,24351640,0.02,487033.0,furniture,chairs & chairmats,2012,10,0.020000008212999208
59,9763,order finished,alan barnes,2011-08-13,44,352520,0.07,24676.0,office supplies,labels,2011,8,0.06999886531260638
60,9927,order returned,grant carroll,2011-08-16,32,9310140,0.0,0.0,furniture,bookcases,2011,8,0.0
61,10022,order finished,delfina latchford,2009-03-04,1,24360,0.06,1462.0,office supplies,paper,2009,3,0.06001642036124795
62,10437,order finished,don jones,2009-08-18,50,1641040,0.01,16410.0,office supplies,binders & binder accessories,2009,8,0.009999756252132794
63,10499,order finished,doug bickford,2010-11-16,29,12501872,0.01,125019.0,furniture,tables,2010,11,0.010000022396645878
64,10535,order finished,doug bickford,2011-05-27,25,1709760,0.09,153878.0,furniture,office furnishings,2011,5,0.08999976604903612
65,10789,order finished,jamie kunitz,2010-08-23,15,617080,0.0,0.0,office supplies,pens & art supplies,2010,8,0.0
66,10791,order finished,anthony johnson,2011-08-19,20,801140,0.05,40057.0,office supplies,paper,2011,8,0.05
67,10945,order finished,ralph knight,2012-01-03,14,2340050,0.04,93602.0,technology,telephones & communication,2012,1,0.04
68,11137,order finished,allen rosenblatt,2012-11-29,48,10377720,0.1,1037772.0,office supplies,storage & organization,2012,11,0.1
69,11202,order finished,barry weirich,2012-03-17,8,679620,0.05,33981.0,office supplies,binders & binder accessories,2012,3,0.05
70,11456,order finished,doug bickford,2010-04-12,15,3039800,0.09,273582.0,furniture,office furnishings,2010,4,0.09
